ServiceNo,Latitude,Longitude,Type,Load,WheelChairAccessible,EstimatedArrival,CurrentDateTime,MinutesLeft
52,1.3387018333333334,103.747463,Double Deck,Seats Available,Yes,2025-01-28 21:15:34,2025-01-28 20:54:18,21
52,1.3146111666666667,103.771834,Double Deck,Seats Available,Yes,2025-01-28 21:00:02,2025-01-28 20:54:18,5
52,0.0,0.0,Single Deck,Seats Available,Yes,2025-01-28 21:25:09,2025-01-28 20:54:18,30
61,1.3268325,103.77570883333334,Single Deck,Seats Available,Yes,2025-01-28 20:55:03,2025-01-28 20:54:18,0
61,1.3066251666666666,103.79344533333334,Single Deck,Seats Available,Yes,2025-01-28 21:08:47,2025-01-28 20:54:18,14
61,1.2746851666666668,103.8019445,Single Deck,Seats Available,Yes,2025-01-28 21:20:55,2025-01-28 20:54:18,26
74,1.3036943333333333,103.78185183333333,Single Deck,Seats Available,Yes,2025-01-28 21:07:25,2025-01-28 20:54:18,13
74,1.314332,103.77191266666667,Single Deck,Seats Available,Yes,2025-01-28 21:00:51,2025-01-28 20:54:18,6
74,0.0,0.0,Double Deck,Seats Available,Yes,2025-01-28 21:18:50,2025-01-28 20:54:18,24
75,1.3100921666666667,103.805439,Single Deck,Seats Available,Yes,2025-01-28 21:08:37,2025-01-28 20:54:18,14
75,1.2824103333333334,103.828713,Single Deck,Seats Available,Yes,2025-01-28 21:24:02,2025-01-28 20:54:18,29
151,0.0,0.0,Single Deck,Seats Available,Yes,2025-01-28 21:28:53,2025-01-28 20:54:18,34
151,0.0,0.0,Single Deck,Seats Available,Yes,2025-01-28 21:14:53,2025-01-28 20:54:18,20
151,1.3058506666666667,103.77112316666667,Single Deck,Seats Available,Yes,2025-01-28 21:02:43,2025-01-28 20:54:18,8
154,1.326797,103.72050333333334,Single Deck,Seats Available,Yes,2025-01-28 21:17:45,2025-01-28 20:54:18,23
154,1.3219681666666667,103.77096083333333,Double Deck,Seats Available,Yes,2025-01-28 20:56:34,2025-01-28 20:54:18,2
154,0.0,0.0,Double Deck,Seats Available,Yes,2025-01-28 21:37:33,2025-01-28 20:54:18,43
184,1.33984,103.77944816666667,Double Deck,Seats Available,Yes,2025-01-28 21:15:28,2025-01-28 20:54:18,21
184,1.3222909999999999,103.77122,Bendy,Seats Available,Yes,2025-01-28 20:57:07,2025-01-28 20:54:18,2
184,1.356519,103.7682955,Double Deck,Seats Available,Yes,2025-01-28 21:21:43,2025-01-28 20:54:18,27
